site,scope,feature_type,target,rank_in_selected_set,feature
wujiaochang,segment2,individual,velocity,2,wall.near
wujiaochang,segment2,individual,velocity,3,painting.middle
wujiaochang,segment2,individual,velocity,4,light.near
wujiaochang,segment2,individual,velocity,5,floor.far
wujiaochang,segment2,individual,velocity,6,poster.far
wujiaochang,segment2,individual,velocity,7,painting.far
wujiaochang,segment2,individual,velocity,8,person.middle
wujiaochang,segment2,individual,velocity,9,person.near
wujiaochang,segment2,individual,velocity,10,painting.near
wujiaochang,segment2,individual,velocity,11,ceiling.near
wujiaochang,segment2,individual,velocity,12,signboard.far
wujiaochang,segment2,individual,deviation,1,person.far
wujiaochang,segment2,individual,deviation,2,person.middle
wujiaochang,segment2,individual,deviation,3,wall.near
wujiaochang,segment2,individual,deviation,4,floor.middle
wujiaochang,segment2,individual,deviation,5,light.near
wujiaochang,segment2,individual,deviation,6,floor.near
wujiaochang,segment2,individual,deviation,7,ceiling.middle
wujiaochang,segment2,individual,deviation,8,wall.far
wujiaochang,segment2,individual,deviation,9,ceiling.near
wujiaochang,segment2,individual,deviation,10,painting.middle
wujiaochang,segment2,individual,deviation,11,painting.far
wujiaochang,segment2,individual,deviation,12,wall.middle
wujiaochang,segment2,comprehensive,velocity,1,near_ratio
wujiaochang,segment2,comprehensive,velocity,2,middle_ratio
wujiaochang,segment2,comprehensive,velocity,3,far_ratio
